iso8601_utc, UID, batch, measurement_number, decimal_hour, gain, integration_time_ms, wavelength_nm, irradiance_uw.per.cm.sq_factory_cal, irradiance.uncertainty_uw.per.cm.sq_factory_cal, raw_counts, detector_chip_number, detector_chip_temperature_C, battery_voltage, battery_percentage
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 410, 196.49, 23.5788, 239, 3, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 435, 337.932, 40.5518, 344, 3, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 460, 544.456, 65.3347, 603, 3, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 485, 228.561, 27.4274, 256, 3, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 510, 240.583, 28.87, 300, 3, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 535, 238.411, 28.6093, 323, 3, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 560, 150.651, 18.0781, 304, 2, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 585, 153.339, 18.4006, 319, 2, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 610, 161.021, 19.3225, 184, 1, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 645, 130.201, 15.6241, 322, 2, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 680, 285.859, 34.303, 279, 1, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 705, 126.108, 15.1329, 308, 2, 38, 3.9675, 73.9
20250909T081428Z, 3860, 1, 0, 8.24111, 16, 168, 730, 253.269, 30.3923, 315, 1, 38, 3.9675, 73.9
